10497,1,1
8190,1,11
8117,1,10
588,1,1
196,1,1
9543,1,1
1948,1,1
148,1,1
10650,1,1
12776,1,15
6600,1,4
1400,1,1
1072,1,1
1170,1,1
2236,1,2
588,1,1
8787,1,12
3188,2,2
148,1,1
9336,1,1
1674,1,1
4422,2,2
6906,1,1
148,1,1
1386,1,1
3522,1,2
6690,1,1
9413,1,1
8993,2,13
484,1,1
7665,1,1
6681,1,8
1122,1,1
10615,1,13
9726,1,13
2238,1,1
4122,3,3
10729,1,12
6616,1,9
148,1,1
294,1,1
1982,1,1
8183,1,10
5891,4,4
148,1,1
3188,1,2
294,1,1
5312,1,3
1444,1,1
12205,1,1
8134,1,10
148,1,1
10336,1,1
588,1,1
2970,3,2
1274,1,1
2264,1,1
1314,1,1
222,1,1
2206,2,2
5554,1,9
1852,1,1
222,2,2
7876,2,2
3132,3,3
3008,2,2
1856,1,1
5829,1,7
9550,1,6
2132,1,1
7140,5,5
12426,1,1
444,1,1
392,1,1
214,1,1
588,1,1
1084,2,2
148,1,1
10207,1,1
294,1,1
6729,1,9
148,1,1
5935,1,10
1124,1,2
148,1,1
148,1,1
4192,4,3
1996,2,2
4430,1,2
588,1,1
588,1,1
2212,1,1
7339,1,10
1814,2,2
4600,2,3
588,1,1
6661,1,1
148,1,1
888,1,1
1176,1,1
8569,1,1
10868,1,13
9021,1,12
10384,1,1
10453,1,1
1678,2,2
8197,2,12
9328,1,10
3038,1,2
2180,1,1
1882,1,1
7030,1,1
1844,1,2
2810,1,1
11146,2,13
148,1,1
6365,1,1
4146,3,2
11765,1,14
1890,1,2
4260,3,3
148,1,1
1974,2,2
2476,1,1
2994,3,2
11384,1,1
588,1,1
444,1,1
592,1,1
10077,1,1
3198,2,2
1212,1,1
588,1,1
1084,1,1
10558,1,1
7499,1,1
9334,6,5
6854,7,4
888,1,1
3862,1,2
6393,1,8
8820,1,12
6046,1,8
12195,2,14
592,1,1
6889,1,8
1675,2,2
888,1,1
13206,1,1
9163,1,1
11505,2,2
3670,4,4
740,1,1
1382,1,1
7810,1,11
1478,1,1
1196,1,1
1176,1,1
8309,2,13
9297,1,11
1240,1,1
924,2,2
1412,1,1
588,1,1
6147,1,1
148,1,1
6983,6,6
148,1,1
2360,1,2
588,1,1
148,1,1
8343,1,11
588,1,1
3348,2,2
2150,2,2
6304,1,8
9696,1,1
296,1,1
8892,1,11
12467,1,1
1148,1,1
1476,1,2
9441,1,12
5994,3,3
5645,1,8
14028,5,5
